Candidate	Score
Solution 471	0.9956469483 [0.994867395110-0.996426501434]
Solution 472	0.9953242690 [0.994541860994-0.996106677023]
Solution 473	0.9956469483 [0.994867395110-0.996426501434]
Solution 474	0.9953242690 [0.994541860994-0.996106677023]
Solution 475	0.9952784406 [0.994494986034-0.996061895204]
Solution 476	0.9938300860 [0.993027547885-0.994632624131]
Solution 477	0.9952784406 [0.994494986034-0.996061895204]
Solution 478	0.9938300860 [0.993027547885-0.994632624131]
Solution 479	0.9933529227 [0.992387782542-0.994318062790]
Solution 480	0.9943522730 [0.993396632810-0.995307913289]
Solution 481	0.9933446071 [0.992379504416-0.994309709829]
