sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"SEP15","Alias symbol","SELENOF","selenoprotein F","HGNC:17705","1p22.3"
"RP11-766F14.2","Unmatched","","","",""
"AC010441.1","Unmatched","","","",""
"CTB-134H23.2","Unmatched","","","",""
"AL138847.1","Unmatched","","","",""
"AP000349.1","Unmatched","","","",""
"AC012414.1","Unmatched","","","",""
"FKSG68","Unmatched","","","",""
"RP11-347C12.1","Unmatched","","","",""
"RP11-451M19.3","Unmatched","","","",""
"RP5-966M1.6","Unmatched","","","",""
"CTD-2210P24.4","Unmatched","","","",""
"FKSG61","Unmatched","","","",""
"AC005779.2","Unmatched","","","",""
"AC226150.4","Unmatched","","","",""
"RP11-180C1.1","Unmatched","","","",""
"AC010547.9","Unmatched","","","",""
